,time,Av. Dens.,St. Dens.,RMS Vel.,RMS Mach
41,2.530074e+12,1.660000e-24,2.568971e-24,1.458379e+06,1.458379e+00
42,2.592074e+12,1.660000e-24,2.544804e-24,1.464017e+06,1.464017e+00
43,2.653442e+12,1.660000e-24,2.539687e-24,1.472043e+06,1.472043e+00
44,2.715094e+12,1.660000e-24,2.583888e-24,1.476143e+06,1.476143e+00
45,2.777008e+12,1.660000e-24,2.620978e-24,1.492036e+06,1.492036e+00
46,2.838681e+12,1.660000e-24,2.618223e-24,1.506731e+06,1.506731e+00
47,2.900685e+12,1.660000e-24,2.571166e-24,1.516690e+06,1.516690e+00
48,2.962289e+12,1.660000e-24,2.514576e-24,1.529733e+06,1.529733e+00
49,3.024046e+12,1.660000e-24,2.486781e-24,1.542676e+06,1.542676e+00
50,3.085991e+12,1.660000e-24,2.481541e-24,1.541122e+06,1.541122e+00
51,3.147310e+12,1.660000e-24,2.532434e-24,1.534946e+06,1.534946e+00
52,3.209313e+12,1.660000e-24,2.612685e-24,1.516858e+06,1.516858e+00
53,3.270583e+12,1.660000e-24,2.641709e-24,1.503971e+06,1.503971e+00
54,3.332824e+12,1.660000e-24,2.661864e-24,1.502661e+06,1.502661e+00
55,3.394149e+12,1.660000e-24,2.680648e-24,1.502697e+06,1.502697e+00
56,3.455910e+12,1.660000e-24,2.687654e-24,1.514465e+06,1.514465e+00
57,3.517963e+12,1.660000e-24,2.699754e-24,1.525183e+06,1.525183e+00
58,3.579445e+12,1.660000e-24,2.688486e-24,1.535022e+06,1.535022e+00
59,3.641029e+12,1.660000e-24,2.651547e-24,1.522311e+06,1.522311e+00
60,3.703030e+12,1.660000e-24,2.621780e-24,1.507406e+06,1.507406e+00
61,3.764889e+12,1.660000e-24,2.608618e-24,1.500908e+06,1.500908e+00
62,3.826458e+12,1.660000e-24,2.601110e-24,1.481060e+06,1.481060e+00
63,3.888129e+12,1.660000e-24,2.598481e-24,1.470654e+06,1.470654e+00
64,3.949790e+12,1.660000e-24,2.623843e-24,1.468435e+06,1.468435e+00
65,4.011349e+12,1.660000e-24,2.604371e-24,1.453762e+06,1.453762e+00
66,4.073335e+12,1.660000e-24,2.592236e-24,1.451024e+06,1.451024e+00
67,4.135039e+12,1.660000e-24,2.632217e-24,1.452930e+06,1.452930e+00
68,4.196516e+12,1.660000e-24,2.656903e-24,1.455392e+06,1.455392e+00
69,4.258665e+12,1.660000e-24,2.733076e-24,1.461227e+06,1.461227e+00
70,4.319740e+12,1.660000e-24,2.837236e-24,1.473363e+06,1.473363e+00
71,4.381882e+12,1.660000e-24,2.902259e-24,1.472399e+06,1.472399e+00
72,4.443778e+12,1.660000e-24,2.911545e-24,1.476386e+06,1.476386e+00
73,4.504881e+12,1.660000e-24,2.869620e-24,1.471539e+06,1.471539e+00
74,4.566450e+12,1.660000e-24,2.856991e-24,1.468008e+06,1.468008e+00
75,4.628232e+12,1.660000e-24,2.866864e-24,1.468502e+06,1.468502e+00
76,4.689952e+12,1.660000e-24,2.844850e-24,1.463902e+06,1.463902e+00
77,4.752076e+12,1.660000e-24,2.806807e-24,1.454273e+06,1.454273e+00
78,4.813537e+12,1.660000e-24,2.754638e-24,1.450672e+06,1.450672e+00
79,4.875636e+12,1.660000e-24,2.703136e-24,1.459104e+06,1.459104e+00
80,4.937455e+12,1.660000e-24,2.654555e-24,1.469532e+06,1.469532e+00
81,4.998737e+12,1.660000e-24,2.638108e-24,1.479919e+06,1.479919e+00
82,5.060296e+12,1.660000e-24,2.634183e-24,1.494865e+06,1.494865e+00
83,5.122242e+12,1.660000e-24,2.605714e-24,1.512115e+06,1.512115e+00
84,5.183721e+12,1.660000e-24,2.549394e-24,1.527700e+06,1.527700e+00
85,5.245944e+12,1.660000e-24,2.501077e-24,1.535639e+06,1.535639e+00
86,5.307636e+12,1.660000e-24,2.455656e-24,1.526496e+06,1.526496e+00
87,5.369362e+12,1.660000e-24,2.401613e-24,1.519539e+06,1.519539e+00
88,5.431203e+12,1.660000e-24,2.368227e-24,1.523013e+06,1.523013e+00
89,5.492855e+12,1.660000e-24,2.404067e-24,1.531064e+06,1.531064e+00
90,5.554550e+12,1.660000e-24,2.498580e-24,1.532775e+06,1.532775e+00
91,5.616085e+12,1.660000e-24,2.587841e-24,1.537499e+06,1.537499e+00
92,5.678055e+12,1.660000e-24,2.641487e-24,1.538860e+06,1.538860e+00
93,5.739796e+12,1.660000e-24,2.701878e-24,1.541215e+06,1.541215e+00
94,5.801350e+12,1.660000e-24,2.741419e-24,1.543838e+06,1.543838e+00
95,5.863221e+12,1.660000e-24,2.722641e-24,1.542950e+06,1.542950e+00
96,5.924938e+12,1.660000e-24,2.687114e-24,1.546728e+06,1.546728e+00
97,5.986581e+12,1.660000e-24,2.639525e-24,1.544162e+06,1.544162e+00
98,6.048295e+12,1.660000e-24,2.594358e-24,1.530108e+06,1.530108e+00
99,6.109993e+12,1.660000e-24,2.583461e-24,1.512493e+06,1.512493e+00
100,6.172000e+12,1.660000e-24,2.564523e-24,1.499864e+06,1.499864e+00
