Velocity,Intensity
-1.32e+01,5.25e+00
-1.24e+01,5.46e+00
-1.15e+01,5.95e+00
-1.07e+01,6.63e+00
-9.89e+00,7.28e+00
-9.07e+00,8.05e+00
-8.24e+00,8.86e+00
-7.42e+00,1.00e+01
-6.60e+00,1.11e+01
-5.77e+00,1.21e+01
-4.95e+00,1.28e+01
-4.12e+00,1.27e+01
-3.30e+00,1.24e+01
-2.47e+00,1.26e+01
-1.65e+00,1.33e+01
-8.24e-01,1.38e+01
2.38e-06,1.46e+01
8.25e-01,1.62e+01
1.65e+00,2.24e+01
2.47e+00,3.39e+01
3.30e+00,4.20e+01
4.12e+00,4.66e+01
4.95e+00,4.35e+01
5.77e+00,2.99e+01
6.60e+00,1.58e+01
7.42e+00,8.82e+00
8.25e+00,6.27e+00
9.07e+00,4.86e+00
9.89e+00,3.95e+00
1.07e+01,3.25e+00
1.15e+01,2.65e+00
1.24e+01,2.18e+00
1.32e+01,1.71e+00
1.40e+01,1.49e+00
1.48e+01,1.18e+00
1.57e+01,9.30e-01
1.65e+01,7.83e-01
1.73e+01,6.05e-01
1.81e+01,4.27e-01
1.90e+01,5.00e-01
1.98e+01,4.18e-01
2.06e+01,3.05e-01
2.14e+01,3.23e-01
2.23e+01,2.63e-01
2.31e+01,1.53e-01
2.39e+01,1.80e-01
2.47e+01,1.30e-01
2.56e+01,1.00e-01
2.64e+01,1.20e-01
2.72e+01,5.25e-02
2.80e+01,1.03e-01
2.89e+01,8.25e-02
2.97e+01,2.00e-02
3.05e+01,1.05e-01
3.13e+01,2.00e-02
3.22e+01,1.03e-01
3.30e+01,1.05e-01
3.38e+01,8.00e-02
3.46e+01,1.47e-01
3.55e+01,1.05e-01
3.63e+01,4.00e-02
3.71e+01,4.25e-02
3.79e+01,8.25e-02
3.88e+01,1.25e-02
3.96e+01,1.15e-01
4.04e+01,5.75e-02
4.12e+01,8.00e-02
4.21e+01,1.88e-01
4.29e+01,5.00e-02
4.37e+01,7.75e-02
4.45e+01,9.75e-02
4.54e+01,8.00e-02
4.62e+01,1.03e-01
4.70e+01,3.25e-02
4.78e+01,3.25e-02
4.87e+01,7.00e-02
4.95e+01,1.50e-02
5.03e+01,9.00e-02
5.11e+01,7.75e-02
5.20e+01,-4.50e-02
5.28e+01,4.25e-02
5.36e+01,-2.49e-03
5.44e+01,2.50e-03
5.53e+01,7.00e-02
5.61e+01,2.25e-02
5.69e+01,1.23e-01
5.77e+01,1.23e-01
5.86e+01,1.28e-01
5.94e+01,4.50e-02
6.02e+01,6.00e-02
6.10e+01,1.20e-01
6.19e+01,1.45e-01
6.27e+01,1.05e-01
6.35e+01,3.75e-02
6.43e+01,7.50e-02
6.51e+01,1.30e-01
6.60e+01,1.03e-01
6.68e+01,8.00e-02
6.76e+01,3.50e-02
6.84e+01,5.00e-03
6.93e+01,1.03e-01
7.01e+01,7.75e-02
7.09e+01,1.33e-01
7.17e+01,9.00e-02
7.26e+01,1.75e-02
7.34e+01,9.25e-02
7.42e+01,5.25e-02
7.50e+01,5.50e-02
7.59e+01,2.25e-02
7.67e+01,4.75e-02
7.75e+01,8.50e-02
7.83e+01,1.50e-02
7.92e+01,3.25e-02
8.00e+01,2.75e-02
8.08e+01,5.25e-02
8.16e+01,1.23e-01
8.25e+01,1.25e-02
8.33e+01,-5.25e-02
8.41e+01,-2.75e-02
8.49e+01,5.50e-02
8.58e+01,5.00e-03
8.66e+01,2.50e-02
8.74e+01,6.25e-02
8.82e+01,1.25e-02
8.91e+01,1.50e-02
8.99e+01,2.75e-02
9.07e+01,2.25e-02
9.15e+01,-3.75e-02
9.24e+01,4.50e-02
9.32e+01,-4.50e-02
9.40e+01,-1.00e-02
9.48e+01,-6.25e-02
9.57e+01,6.25e-02
9.65e+01,6.00e-02
9.73e+01,0.00e+00
9.81e+01,8.50e-02
9.90e+01,3.50e-02
9.98e+01,-3.00e-02
1.01e+02,1.15e-01
1.01e+02,6.25e-02
1.02e+02,6.50e-02
1.03e+02,5.00e-02
1.04e+02,5.00e-02
1.05e+02,-3.25e-02
1.06e+02,-7.50e-03
1.06e+02,1.50e-02
1.07e+02,2.00e-02
1.08e+02,6.75e-02
1.09e+02,0.00e+00
1.10e+02,-2.25e-02
1.11e+02,-2.49e-03
1.11e+02,0.00e+00
1.12e+02,0.00e+00
1.13e+02,1.00e-02
1.14e+02,1.00e-02
1.15e+02,-4.00e-02
1.15e+02,4.25e-02
1.16e+02,1.50e-02
1.17e+02,-4.25e-02
1.18e+02,3.25e-02
1.19e+02,-3.25e-02
1.20e+02,3.00e-02
1.20e+02,-5.00e-02
1.21e+02,-2.75e-02
1.22e+02,-7.50e-03
1.23e+02,5.25e-02
1.24e+02,2.00e-02
1.25e+02,-1.00e-02
1.25e+02,-3.75e-02
1.26e+02,-8.25e-02
1.27e+02,-5.50e-02
1.28e+02,-3.25e-02
1.29e+02,-2.25e-02
1.30e+02,-4.75e-02
1.30e+02,-4.50e-02
1.31e+02,2.00e-02
1.32e+02,-9.75e-02
1.33e+02,7.50e-03
1.34e+02,4.75e-02
1.34e+02,-3.50e-02
1.35e+02,7.50e-03
1.36e+02,-5.00e-03
1.37e+02,6.00e-02
1.38e+02,-2.25e-02
1.39e+02,-1.75e-02
1.39e+02,5.00e-03
1.40e+02,-4.00e-02
1.41e+02,-1.00e-02
