# Column 1: Channel -> ID
# Column 2: Spectral axis -> Gas velocity in km/s
# Column 3: Intensity axis -> Brightness temperature in K
#
#  Channel     Spectral axis    Intensity
 2.55000E+02   -2.85006E+02   -1.75018E-02
 2.56000E+02   -2.84183E+02    3.25012E-02
 2.57000E+02   -2.83360E+02    1.49994E-02
 2.58000E+02   -2.82537E+02    3.25012E-02
 2.59000E+02   -2.81714E+02    7.50046E-02
 2.60000E+02   -2.80891E+02    5.24979E-02
 2.61000E+02   -2.80068E+02    3.25012E-02
 2.62000E+02   -2.79245E+02   -3.25012E-02
 2.63000E+02   -2.78422E+02   -7.49969E-03
 2.64000E+02   -2.77599E+02    4.00009E-02
 2.65000E+02   -2.76776E+02   -5.74951E-02
 2.66000E+02   -2.75953E+02    0.00000E+00
 2.67000E+02   -2.75130E+02    7.25021E-02
 2.68000E+02   -2.74307E+02    2.00043E-02
 2.69000E+02   -2.73484E+02   -8.49991E-02
 2.70000E+02   -2.72661E+02   -1.99966E-02
 2.71000E+02   -2.71838E+02   -8.49991E-02
 2.72000E+02   -2.71015E+02   -4.00009E-02
 2.73000E+02   -2.70192E+02    5.00031E-02
 2.74000E+02   -2.69369E+02    5.50003E-02
 2.75000E+02   -2.68546E+02   -4.99725E-03
 2.76000E+02   -2.67723E+02    2.24991E-02
 2.77000E+02   -2.66900E+02    6.75049E-02
 2.78000E+02   -2.66077E+02   -2.49481E-03
 2.79000E+02   -2.65254E+02    2.75040E-02
 2.80000E+02   -2.64431E+02    9.50012E-02
 2.81000E+02   -2.63608E+02   -2.24991E-02
 2.82000E+02   -2.62785E+02   -4.49982E-02
 2.83000E+02   -2.61962E+02    9.75037E-02
 2.84000E+02   -2.61139E+02    7.25021E-02
 2.85000E+02   -2.60316E+02   -9.74960E-02
 2.86000E+02   -2.59493E+02    3.25012E-02
 2.87000E+02   -2.58670E+02   -1.49994E-02
 2.88000E+02   -2.57847E+02    2.00043E-02
 2.89000E+02   -2.57023E+02    2.50244E-03
 2.90000E+02   -2.56200E+02    1.25046E-02
 2.91000E+02   -2.55377E+02    1.00021E-02
 2.92000E+02   -2.54554E+02   -1.00021E-02
 2.93000E+02   -2.53731E+02   -4.24957E-02
 2.94000E+02   -2.52908E+02   -8.00018E-02
 2.95000E+02   -2.52085E+02    9.75037E-02
 2.96000E+02   -2.51262E+02   -5.74951E-02
 2.97000E+02   -2.50439E+02   -2.49481E-03
 2.98000E+02   -2.49615E+02    1.49994E-02
 2.99000E+02   -2.48792E+02   -1.49994E-02
 3.00000E+02   -2.47969E+02    1.10001E-01
 3.01000E+02   -2.47146E+02    4.49982E-02
 3.02000E+02   -2.46323E+02   -2.50015E-02
 3.03000E+02   -2.45500E+02   -1.00021E-02
 3.04000E+02   -2.44677E+02    1.49994E-02
 3.05000E+02   -2.43853E+02    4.00009E-02
